StartDate,EndDate,Duration (in seconds),RecordedDate,ResponseId,LocationLatitude,Q32,Q33,Q34,Q35,Black1_1,Black1_2,Black1_3,Black1_4,Black2_1,Black2_2,Black2_3,Black2_4,Black3_1,Black3_2,Black3_3,Black3_4,Black4_1,Black4_2,Black4_3,Black4_4,Black5_1,Black5_2,Black5_3,Black5_4,Black6_1,Black6_2,Black6_3,Black6_4,Black7_1,Black7_2,Black7_3,Black7_4,Black8_1,Black8_2,Black8_3,Black8_4,Black9_1,Black9_2,Black9_3,Black9_4,Black10_1,Black10_2,Black10_3,Black10_4,Black11_1,Black11_2,Black11_3,Black11_4,Black12_1,Black12_2,Black12_3,Black12_4,White1_1,White1_2,White1_3,White1_4,White2_1,White2_2,White2_3,White2_4,White3_1,White3_2,White3_3,White3_4,White4_1,White4_2,White4_3,White4_4,White5_1,White5_2,White5_3,White5_4,White6_1,White6_2,White6_3,White6_4,White7_1,White7_2,White7_3,White7_4,White8_1,White8_2,White8_3,White8_4,White9_1,White9_2,White9_3,White9_4,White10_1,White10_2,White10_3,White10_4,White11_1,White11_2,White11_3,White11_4,White12_1,White12_2,White12_3,White12_4
19/02/2018 18:51,19/02/2018 19:02,649,19/02/2018 19:02,R_808X7Bu4g3Guh3j,53.96670532,Female,26,White,Police officer,3,1,1,1,2,2,2,1,4,3,4,4,2,2,2,1,4,2,2,4,2,2,2,2,4,3,,4,2,1,4,2,3,2,4,3,4,3,4,2,4,2,2,4,3,3,4,3,4,2,4,4,3,2,2,2,4,2,4,4,4,3,4,3,3,3,5,2,3,3,1,1,3,3,3,3,4,5,3,3,3,2,2,3,2,2,4,2,4,4,4,4,4,3,3,4
22/02/2018 18:58,22/02/2018 19:06,442,22/02/2018 19:06,R_1g7ntWUIlHDlnlk,53.16900635,Female ,55,White British ,Registered nurse ,3,5,4,4,4,5,5,4,5,5,5,4,3,3,2,4,4,4,2,4,5,5,4,4,5,5,5,5,4,6,6,6,3,3,5,3,4,4,4,5,4,4,3,5,4,5,5,6,4,4,5,4,4,5,5,4,3,3,3,3,6,6,5,6,4,5,4,5,4,5,6,6,5,4,4,3,5,4,5,4,4,4,2,3,4,5,5,4,4,4,5,4,5,6,6,4
22/02/2018 20:20,22/02/2018 20:28,484,22/02/2018 20:28,R_396G4RfA1X3EiOJ,53.23330688,Female,20,White Irish ,Student,3,4,2,3,4,5,3,2,5,3,2,5,5,3,3,5,5,2,5,5,3,4,2,2,4,2,3,5,4,1,6,5,5,3,4,5,4,3,3,3,3,5,3,5,4,3,4,4,4,4,4,3,5,4,2,3,4,2,2,3,4,2,3,4,4,4,2,4,3,5,2,2,3,3,3,2,3,2,3,2,3,5,2,2,3,3,4,2,4,6,3,2,3,2,2,1
22/02/2018 20:52,22/02/2018 20:56,238,22/02/2018 20:56,R_28U1toV75QVm182,52.93330383,Female,20,White British ,Student ,3,5,4,3,3,5,4,2,6,6,4,4,3,5,5,3,5,4,3,5,4,4,4,5,3,4,4,5,3,4,4,4,3,4,5,3,3,5,4,3,4,4,4,3,1,4,3,2,4,4,5,4,2,4,4,2,3,4,4,4,2,4,3,2,3,4,3,3,2,4,2,2,6,5,4,3,6,5,4,2,4,4,4,4,2,4,4,2,5,4,2,3,3,5,5,3
22/02/2018 21:43,22/02/2018 21:49,339,22/02/2018 21:49,R_2V28y6LKoXUlwZ5,53.13330078,Female ,19,British ,Student,3,2,1,1,3,4,1,1,4,4,1,5,3,1,1,6,3,4,,4,2,6,6,3,3,3,5,3,2,2,6,3,3,,4,1,5,5,5,6,6,6,3,6,4,3,3,3,3,3,4,2,6,6,4,6,4,1,2,4,4,1,5,4,6,5,6,5,5,6,2,6,2,3,3,2,4,3,5,2,6,4,1,6,1,2,6,1,3,3,3,1,5,4,4,4
22/02/2018 22:25,22/02/2018 22:35,561,22/02/2018 22:35,R_QoYzluj16DqnkgF,51.45669556,Male,20,White British,Student,3,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,,3,2,3,3,3,4,4,3,3,1,3,3,3,4,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,6,3,3,3,5,3,3,3,6,3,3,5,4,3,3,3,4,3,3,3,2,3,3,3,2,3,3,3,4,3,3,3,5,3,3
23/02/2018 12:57,23/02/2018 14:25,5295,23/02/2018 14:25,R_sZjmC3RSJtAiITf,53.21670532,Female,20,British,Student,3,5,5,3,5,5,4,4,5,4,4,5,5,5,4,5,6,6,5,6,5,5,5,4,5,3,5,4,5,3,5,4,5,4,5,4,5,5,5,5,5,4,4,6,5,4,5,4,6,6,6,4,5,6,6,5,5,5,5,5,5,5,5,4,5,5,3,5,4,5,3,4,4,5,5,4,5,6,5,4,5,4,5,4,5,6,5,4,5,6,6,6,4,5,6,4
23/02/2018 14:24,23/02/2018 14:32,469,23/02/2018 14:32,R_3PtdpIpmD8FGqDY,52.96670532,Female,59,White british,Lecturer,3,5,4,3,2,6,4,1,6,5,5,5,3,5,4,3,5,5,4,5,5,6,5,4,5,6,6,3,4,5,4,3,5,5,6,4,4,6,4,5,6,4,5,6,3,6,6,1,5,5,5,3,2,5,4,5,5,4,6,6,4,5,5,4,3,5,2,2,2,5,3,1,4,5,6,2,3,5,6,2,2,5,3,4,3,5,4,1,5,6,5,3,4,5,6,3
22/02/2018 19:32,22/02/2018 19:39,425,01/03/2018 19:40,R_vwOgzz2bhxK6taN,,Female,20,White British ,Self employed ,3,6,4,1,4,6,3,,3,6,4,6,3,6,4,2,6,6,4,6,2,6,1,2,5,6,4,5,2,6,5,3,3,6,4,4,4,6,5,3,6,,6,4,2,6,5,1,3,6,4,2,3,6,2,2,5,6,3,5,3,6,4,2,6,6,1,5,2,6,3,1,4,2,5,6,3,6,5,2,5,6,2,1,3,6,5,2,6,6,6,6,4,6,6,6
23/02/2018 19:02,23/02/2018 19:07,308,02/03/2018 19:07,R_2742g5r4YfgBu3K,,F,52,White U.K. ,Nurse,3,4,5,6,6,5,3,6,5,5,3,3,3,2,5,1,4,6,3,5,3,3,6,3,5,5,4,5,4,5,3,2,6,3,3,2,5,,4,5,3,2,2,2,3,3,2,2,2,2,5,3,4,3,3,6,4,4,3,3,4,3,2,2,4,3,3,1,2,2,6,2,3,3,4,3,4,2,4,2,4,4,4,1,2,6,5,4,5,4,4,3,5,2,3,3
